breed,age,weight,lactation_stage,parity,hist_yield_avg7,feed_type,feed_quality,feed_qty_kg,walking_km,grazing_h,rumination_h,resting_h,body_temp,heart_rate,ambient_temp,humidity,housing_score,vaccinations_up_to_date,disease_history_count,season,health_score,disease_label,milk_yield,feed_efficiency
Jersey,14,621.9,late,4,20.97,green,7.91,17.83,3.76,4.5,7.73,11.46,37.56,64,17.97,49.63,10.0,1,0,spring,0.69,none,16.3,0.91
Holstein,5,539.2,early,2,28.47,green,7.6,7.53,2.46,3.14,5.62,13.23,37.26,59,28.55,28.37,9.95,1,0,winter,0.52,none,28.88,3.84
Buffalo,11,511.6,mid,3,9.56,dry,7.19,18.93,0.41,2.75,7.22,8.51,38.01,67,30.07,60.23,9.66,1,1,spring,0.5,minor,14.3,0.76
Buffalo,10,399.8,mid,2,13.93,concentrate,3.62,8.49,0.0,1.41,5.66,11.05,38.67,50,11.14,61.09,6.06,1,0,autumn,0.16,minor,5.68,0.67
Buffalo,3,538.0,mid,2,7.89,dry,6.85,19.23,1.41,4.04,4.6,9.76,39.0,45,17.22,30.36,2.33,0,0,spring,0.43,minor,8.86,0.46
Holstein,12,654.5,late,1,22.69,mixed,8.94,20.06,0.74,1.81,2.78,8.22,38.29,73,35.32,32.36,7.79,1,0,spring,0.18,minor,12.18,0.61
Buffalo,7,469.7,early,3,11.28,dry,7.09,15.28,3.98,2.31,2.78,12.13,38.3,76,27.3,57.38,7.7,1,0,autumn,0.53,none,11.84,0.77
Buffalo,5,553.8,mid,4,5.23,dry,2.77,12.28,1.31,2.41,7.91,12.21,37.92,68,22.56,54.31,7.37,1,0,summer,0.51,none,8.05,0.66
Brown Swiss,8,729.9,mid,6,17.66,green,4.97,25.3,3.63,3.73,4.57,10.91,38.31,74,14.01,53.29,3.02,1,0,summer,0.37,minor,21.51,0.85
Holstein,9,524.9,mid,6,24.11,dry,6.68,15.43,3.19,3.69,6.0,8.62,39.04,81,19.18,42.25,9.67,1,0,winter,0.6,none,31.04,2.01
Jersey,12,612.9,late,2,15.18,green,7.31,11.67,2.96,1.92,6.72,5.21,38.03,48,20.04,64.95,6.64,1,0,winter,0.56,none,15.73,1.35
Brown Swiss,6,635.3,late,5,19.08,dry,5.14,14.47,0.13,1.22,4.89,10.67,38.53,57,30.4,74.79,6.68,1,0,summer,0.29,minor,12.04,0.83
Jersey,9,613.1,early,5,17.24,concentrate,2.16,13.43,1.56,0.86,6.07,13.99,37.79,56,26.41,92.22,4.56,1,0,winter,0.23,minor,13.64,1.02
Jersey,2,578.8,late,6,16.12,dry,5.35,19.56,3.14,3.9,2.47,11.08,37.88,67,16.46,68.93,5.39,1,0,summer,0.46,minor,14.86,0.76
Holstein,3,578.0,mid,1,25.81,dry,7.35,15.18,1.38,5.73,3.44,5.17,39.47,90,22.57,21.26,6.38,1,1,autumn,0.51,none,25.22,1.66
Brown Swiss,6,525.3,mid,3,19.57,mixed,7.61,9.39,2.25,2.22,7.77,9.65,39.5,53,28.52,66.39,5.26,1,0,summer,0.51,none,16.39,1.74
Jersey,14,554.9,late,3,13.15,mixed,5.56,6.68,3.18,3.54,3.93,7.37,39.0,68,39.3,68.4,7.78,1,0,winter,0.0,minor,9.87,1.48
Buffalo,14,473.9,early,3,12.37,mixed,9.2,12.7,1.36,3.63,4.63,11.9,37.15,56,20.31,13.59,5.07,1,0,winter,0.59,none,11.68,0.92
Jersey,13,597.2,early,1,15.07,dry,7.51,16.99,2.97,2.97,6.05,7.93,38.49,62,17.7,28.73,8.37,1,1,spring,0.61,none,23.76,1.4
Brown Swiss,5,525.2,late,2,22.3,concentrate,4.45,11.64,2.67,3.12,5.82,9.62,38.67,66,29.67,76.14,3.76,1,0,spring,0.27,minor,11.45,0.98
Brown Swiss,10,605.0,late,3,18.88,mixed,6.52,16.88,0.48,7.1,7.68,12.27,37.95,73,28.84,68.85,9.5,1,0,winter,0.56,none,18.98,1.12
Buffalo,2,410.8,mid,2,15.05,green,9.61,16.23,2.38,5.7,5.02,10.41,37.84,68,25.36,33.95,6.9,0,1,summer,0.54,none,10.55,0.65
Holstein,3,589.9,late,3,21.25,green,7.2,10.32,1.82,4.99,6.59,12.05,38.52,56,18.5,66.89,7.76,1,0,summer,0.59,none,21.92,2.12
Brown Swiss,14,584.0,late,1,18.27,concentrate,6.96,15.46,1.06,3.62,4.4,10.49,38.66,53,22.11,88.76,4.68,1,0,autumn,0.35,minor,14.32,0.93
Buffalo,7,560.7,mid,4,8.86,concentrate,4.89,15.54,4.14,6.67,4.5,13.81,38.52,82,24.44,62.62,7.73,1,0,winter,0.53,none,9.14,0.59
Holstein,9,581.9,mid,2,25.84,dry,6.53,18.83,2.64,0.0,6.0,8.04,37.63,64,25.5,46.13,8.66,1,0,spring,0.6,none,26.69,1.42
Jersey,3,549.6,early,4,17.96,green,6.31,16.38,2.34,4.9,3.33,7.66,37.84,67,32.47,51.37,2.0,1,0,summer,0.19,minor,14.84,0.91
Brown Swiss,4,601.9,mid,4,15.39,green,7.2,18.49,1.78,6.18,4.07,14.12,38.36,52,25.42,38.48,5.5,1,0,spring,0.57,none,23.65,1.28
Holstein,3,671.8,late,2,19.36,dry,4.94,20.72,1.14,2.67,7.82,9.66,38.75,62,25.45,60.12,7.9,1,1,spring,0.6,none,24.11,1.16
Buffalo,4,495.6,late,1,10.63,green,8.1,16.57,3.8,3.58,4.47,10.67,36.74,68,3.11,25.53,7.9,1,0,autumn,0.0,minor,7.38,0.45
Holstein,2,712.1,late,3,25.39,concentrate,6.3,21.19,0.0,2.49,3.89,11.85,38.52,62,24.36,64.46,8.23,1,0,summer,0.58,none,25.15,1.19
Jersey,10,529.2,early,3,20.21,dry,7.17,18.22,0.0,3.66,4.55,9.03,39.02,79,35.77,86.3,6.78,1,0,autumn,0.0,minor,12.79,0.7
Brown Swiss,6,597.0,mid,3,20.01,mixed,7.71,16.34,3.13,3.76,3.15,12.88,38.2,48,18.73,39.58,7.1,1,0,spring,0.57,none,22.25,1.36
Jersey,10,615.8,late,5,17.99,green,8.38,23.59,2.3,2.0,5.73,8.94,38.5,74,21.65,76.11,8.35,1,0,autumn,0.6,none,18.04,0.76
Jersey,12,557.0,mid,8,22.42,concentrate,7.24,17.17,2.67,2.69,7.18,9.09,39.18,58,24.64,38.56,7.91,1,0,autumn,0.63,none,21.52,1.25
Brown Swiss,3,588.5,mid,2,23.96,mixed,10.0,15.24,4.15,3.49,4.77,10.87,38.54,66,22.55,32.04,3.91,1,0,autumn,0.61,none,21.24,1.39
Brown Swiss,5,609.0,late,4,21.48,green,8.74,23.09,2.92,4.2,5.78,7.81,38.92,51,20.23,86.07,8.68,1,0,winter,0.51,none,15.98,0.69
Holstein,13,605.1,mid,1,23.92,mixed,7.13,13.97,2.68,3.01,3.88,9.53,38.39,62,35.63,58.03,6.51,1,1,summer,0.1,minor,18.69,1.34
Buffalo,7,564.4,mid,3,10.01,concentrate,2.32,9.02,1.19,3.03,6.04,10.95,38.27,75,31.18,63.68,8.93,1,0,summer,0.25,minor,8.98,0.99
Buffalo,7,500.1,late,3,8.91,mixed,6.04,9.73,0.52,1.28,8.0,13.6,38.25,61,18.1,21.84,6.77,1,0,spring,0.59,none,7.41,0.76
Buffalo,4,518.3,mid,3,7.6,mixed,6.48,10.56,1.53,3.73,5.92,9.72,39.42,75,23.46,75.0,10.0,1,0,spring,0.52,none,8.24,0.78
Holstein,4,547.1,mid,2,24.69,green,5.33,13.83,0.93,1.24,8.0,10.6,39.03,60,23.88,45.73,1.7,0,0,summer,0.42,minor,20.57,1.49
Brown Swiss,4,597.8,late,4,21.57,green,5.46,20.27,2.85,1.9,3.32,7.63,38.55,68,20.24,60.53,8.14,1,0,summer,0.52,none,20.28,1.0
Holstein,9,684.2,late,5,20.32,dry,8.24,27.79,0.8,3.6,3.91,8.74,38.96,64,35.44,50.36,9.0,1,0,winter,0.23,minor,18.26,0.66
Brown Swiss,8,558.2,early,4,24.35,mixed,7.17,14.31,2.04,1.8,7.43,10.73,38.37,76,11.98,19.72,8.59,0,0,summer,0.28,minor,16.73,1.17
Buffalo,13,600.2,late,2,8.82,concentrate,2.67,19.09,3.27,0.0,4.01,7.69,37.92,65,12.49,72.29,8.51,1,1,winter,0.21,minor,1.52,0.08
Jersey,3,541.0,mid,4,23.51,green,7.18,10.61,3.79,1.48,4.16,9.96,37.56,67,30.8,65.86,3.82,1,0,spring,0.31,minor,11.72,1.11
Holstein,3,643.8,early,3,26.97,dry,10.0,18.35,0.8,3.86,5.66,8.95,37.88,88,26.96,45.35,8.83,1,0,summer,0.68,none,30.97,1.69
Buffalo,13,536.1,early,2,8.87,green,5.76,15.13,1.43,4.83,2.4,11.72,38.27,68,18.24,86.57,9.49,1,1,winter,0.35,minor,10.62,0.7
Jersey,14,598.8,late,6,17.05,mixed,6.2,10.62,2.14,5.5,3.37,10.67,37.95,58,33.86,49.15,7.92,1,1,summer,0.16,minor,12.51,1.18
Brown Swiss,13,659.1,late,1,19.39,mixed,5.45,22.98,2.38,4.3,4.99,11.03,38.25,87,15.59,85.22,9.74,0,0,spring,0.27,minor,15.65,0.68
Brown Swiss,14,601.4,early,2,24.2,mixed,6.83,14.21,3.24,4.84,5.98,11.49,38.34,55,19.79,27.29,7.47,1,0,summer,0.59,none,21.63,1.52
Buffalo,8,466.8,mid,1,5.83,green,6.24,14.95,5.49,6.03,4.54,8.81,38.3,70,24.37,52.1,9.93,1,1,spring,0.56,none,13.22,0.88
Jersey,10,648.1,late,3,18.12,mixed,4.18,13.27,0.0,0.0,5.16,12.25,38.49,42,23.86,56.74,10.0,1,0,summer,0.53,none,16.24,1.22
Holstein,6,605.7,mid,3,27.63,mixed,7.09,18.93,1.08,2.95,4.07,7.86,38.29,53,26.94,37.0,8.42,1,1,summer,0.57,none,29.2,1.54
Holstein,4,589.4,mid,3,25.4,dry,6.62,19.94,3.34,0.0,2.48,10.42,38.07,78,23.11,21.31,4.46,1,1,autumn,0.51,none,27.61,1.38
Buffalo,11,491.5,early,3,10.93,mixed,4.4,21.66,0.56,4.5,2.47,8.14,39.41,62,30.04,64.74,6.79,1,1,autumn,0.32,minor,8.69,0.4
Brown Swiss,5,619.8,early,1,18.25,green,5.84,12.62,1.06,1.54,6.16,11.62,38.41,61,25.84,43.67,4.71,1,0,summer,0.53,none,22.52,1.78
Buffalo,2,420.6,mid,4,5.64,mixed,6.55,15.65,0.0,3.69,6.78,9.69,38.83,57,24.28,27.58,2.31,1,0,spring,0.54,none,9.69,0.62
Jersey,8,529.5,mid,4,18.72,concentrate,9.34,11.93,1.92,5.27,6.9,7.16,38.31,78,28.05,63.91,6.56,1,0,autumn,0.57,none,18.91,1.59
Jersey,5,566.1,early,2,12.67,concentrate,5.13,19.27,2.07,4.52,6.76,10.38,39.18,41,34.54,67.5,9.16,1,0,summer,0.22,minor,16.23,0.84
Brown Swiss,3,614.2,early,5,21.51,mixed,2.15,21.21,0.0,3.11,4.82,12.34,38.39,58,21.96,85.46,8.07,1,0,winter,0.34,minor,22.05,1.04
Holstein,7,637.6,late,5,28.57,green,6.9,19.14,2.42,1.6,4.87,6.8,38.58,69,23.64,27.7,8.98,1,1,spring,0.58,none,21.22,1.11
Buffalo,11,473.1,mid,1,11.92,dry,5.53,15.01,1.79,4.75,4.2,6.85,37.67,59,17.51,68.2,6.07,1,0,summer,0.49,minor,7.43,0.49
Holstein,7,607.1,late,4,25.78,dry,6.2,15.74,0.0,4.28,4.83,7.97,38.58,59,21.83,72.13,4.32,0,0,spring,0.39,minor,18.47,1.17
Holstein,14,656.4,early,6,24.36,green,3.9,17.32,3.37,0.26,4.72,8.36,38.57,61,33.86,70.13,4.38,1,1,winter,0.11,minor,20.28,1.17
Buffalo,11,461.3,early,4,11.89,dry,10.0,10.51,2.11,0.65,3.83,8.74,37.87,54,24.13,35.67,8.68,1,0,autumn,0.6,none,11.54,1.1
Holstein,11,535.2,mid,5,29.39,dry,7.96,16.41,0.0,1.03,6.03,12.43,39.17,49,26.81,80.31,3.68,0,0,summer,0.39,minor,20.4,1.24
Buffalo,11,483.6,early,3,9.88,green,5.95,13.12,2.14,0.0,5.72,10.0,38.52,74,13.28,20.52,7.55,1,0,summer,0.36,minor,9.24,0.7
Buffalo,14,546.6,early,4,11.93,concentrate,4.92,18.98,3.29,6.12,3.69,9.55,38.95,65,18.3,68.29,8.16,1,0,summer,0.52,none,14.71,0.78
Jersey,12,570.6,mid,1,20.64,concentrate,4.14,8.98,2.05,0.76,4.42,11.32,38.12,67,23.2,73.44,7.95,1,0,winter,0.43,minor,17.65,1.97
Holstein,4,530.2,early,2,28.07,dry,7.02,16.49,1.69,4.36,4.44,10.47,39.02,59,21.3,36.11,4.87,1,0,winter,0.54,none,31.77,1.93
Jersey,11,636.2,early,3,11.98,concentrate,4.59,19.98,0.0,4.09,6.54,8.43,37.82,43,23.4,48.37,3.9,1,0,autumn,0.52,none,19.48,0.98
Brown Swiss,14,653.6,mid,1,21.86,mixed,4.41,19.76,2.22,2.06,5.65,8.44,38.81,70,7.5,83.81,1.0,1,0,autumn,0.0,minor,9.11,0.46
Holstein,11,651.3,early,4,23.25,green,8.06,22.88,0.0,2.19,3.71,12.59,37.69,81,24.8,36.76,5.65,1,1,autumn,0.6,none,30.66,1.34
Brown Swiss,14,581.0,mid,3,26.0,green,6.6,18.43,0.0,1.69,5.32,7.95,39.04,52,23.28,48.28,7.33,1,0,summer,0.57,none,20.05,1.09
Holstein,3,611.9,early,2,27.39,concentrate,5.95,18.81,4.54,0.32,6.15,6.21,38.63,80,27.93,63.41,5.88,1,0,autumn,0.5,none,27.2,1.45
Holstein,2,609.9,late,2,26.17,dry,7.48,19.29,3.45,3.18,5.59,10.61,38.45,59,38.28,50.96,5.67,1,0,winter,0.03,minor,15.3,0.79
Jersey,4,544.5,early,3,23.33,dry,6.48,22.39,2.24,2.94,4.01,11.16,38.79,65,20.26,62.6,6.86,1,0,summer,0.57,none,23.64,1.06
Jersey,13,610.3,early,3,16.81,concentrate,6.7,21.46,1.31,4.99,3.51,10.59,39.05,71,36.5,44.73,4.24,1,0,summer,0.06,minor,13.98,0.65
Holstein,7,638.3,mid,2,33.57,concentrate,6.6,21.76,1.26,0.0,4.1,7.81,37.63,82,26.64,67.59,6.38,1,0,autumn,0.55,none,26.24,1.21
Holstein,14,590.2,early,1,19.07,green,6.03,17.94,0.07,2.93,5.08,5.69,37.95,69,27.32,36.93,7.32,1,1,winter,0.52,none,27.22,1.52
Brown Swiss,2,609.8,late,6,17.59,dry,9.28,19.39,0.0,1.57,6.16,9.44,38.19,79,18.72,44.04,7.42,1,0,spring,0.67,none,22.37,1.15
Jersey,5,624.5,late,4,19.67,dry,6.58,15.2,2.1,2.94,5.29,14.41,38.19,69,31.41,61.96,10.0,1,1,spring,0.39,minor,14.63,0.96
Holstein,9,616.0,early,4,26.18,dry,5.25,14.41,3.4,2.27,5.19,9.87,38.94,56,18.55,64.49,8.2,1,0,autumn,0.53,none,31.03,2.15
Jersey,7,573.9,late,6,26.44,green,3.42,14.25,1.08,1.3,3.38,9.4,37.77,68,25.31,69.62,8.02,0,0,spring,0.35,minor,14.51,1.02
Jersey,7,549.9,early,3,16.59,mixed,7.49,19.29,0.6,1.0,5.06,10.35,37.39,63,25.08,55.7,5.37,1,0,summer,0.58,none,22.61,1.17
Jersey,9,654.0,early,3,16.7,concentrate,7.92,24.11,3.94,6.56,3.7,10.03,38.51,64,21.1,30.29,7.19,1,0,autumn,0.61,none,21.46,0.89
Buffalo,2,507.5,early,3,11.46,green,4.18,20.85,0.61,0.91,4.94,9.82,37.96,61,32.38,43.88,4.21,1,0,spring,0.22,minor,8.06,0.39
Holstein,11,562.8,late,5,28.1,green,4.37,18.19,2.37,5.17,5.83,5.25,38.03,66,23.83,69.55,8.58,1,0,winter,0.52,none,21.89,1.2
Jersey,12,545.5,early,2,18.38,dry,4.2,23.57,1.18,0.0,6.85,10.03,39.16,67,27.75,67.26,8.39,1,0,winter,0.55,none,19.03,0.81
Jersey,4,657.1,mid,3,25.72,concentrate,5.15,17.38,1.54,2.02,3.66,4.47,38.24,68,22.04,98.71,7.03,1,0,autumn,0.19,minor,14.13,0.81
Buffalo,5,502.8,mid,3,11.21,green,6.01,16.56,3.89,5.28,5.02,5.23,38.81,42,33.82,63.39,9.0,1,0,summer,0.2,minor,8.11,0.49
Brown Swiss,2,575.4,early,2,23.15,mixed,8.02,23.22,1.71,0.0,4.72,11.62,37.92,63,20.85,90.04,8.5,1,0,autumn,0.45,minor,22.75,0.98
Buffalo,7,390.7,late,3,14.71,concentrate,4.7,10.76,2.72,8.06,7.22,12.24,38.27,56,29.73,37.99,6.52,1,0,autumn,0.4,minor,6.95,0.65
Buffalo,11,525.2,early,6,12.05,concentrate,5.39,9.84,3.0,5.25,4.93,6.08,38.92,48,26.85,42.25,4.68,0,0,winter,0.35,minor,11.47,1.17
Brown Swiss,6,649.0,mid,5,15.06,green,5.86,8.69,1.2,1.2,7.36,6.59,37.64,76,33.14,45.1,5.74,1,1,summer,0.21,minor,14.88,1.71
Jersey,6,578.2,late,2,16.27,green,6.47,24.72,0.0,5.06,3.47,10.2,38.35,55,19.1,65.53,8.99,1,1,winter,0.59,none,18.14,0.73
Brown Swiss,11,730.2,late,1,18.63,mixed,7.97,19.17,1.4,4.08,3.76,9.18,38.55,74,21.37,23.15,3.17,1,1,winter,0.54,none,15.02,0.78
Buffalo,9,461.3,mid,3,8.62,green,5.72,14.9,2.88,1.18,5.05,5.94,38.63,72,23.32,96.33,5.24,1,0,summer,0.23,minor,7.6,0.51
Holstein,6,642.4,mid,2,25.69,mixed,7.97,16.12,3.15,1.48,6.64,14.42,38.43,43,21.71,84.64,8.11,1,0,summer,0.51,none,25.6,1.59
Buffalo,10,546.0,early,3,8.2,concentrate,9.57,17.21,3.21,3.25,4.12,10.02,39.36,70,14.73,55.7,10.0,1,1,summer,0.54,none,15.34,0.89
Buffalo,11,496.5,early,3,13.44,green,6.94,15.4,1.74,5.09,3.7,6.76,38.87,71,27.88,68.15,6.36,1,0,summer,0.47,minor,10.34,0.67
Holstein,3,701.0,late,5,26.17,green,5.82,10.73,3.26,5.87,7.24,10.72,38.53,78,35.09,82.67,5.12,1,0,summer,0.01,minor,13.87,1.29
Jersey,10,632.0,early,5,15.11,concentrate,8.97,14.58,3.45,2.83,5.51,10.92,39.1,65,33.46,66.19,8.25,1,1,spring,0.31,minor,19.46,1.34
Jersey,11,558.9,late,3,16.37,mixed,9.04,16.42,2.31,5.36,3.65,8.01,38.38,73,17.01,26.64,8.65,1,0,summer,0.6,none,15.37,0.94
Jersey,4,646.5,mid,6,16.34,concentrate,8.94,26.03,0.77,2.92,5.14,8.03,38.47,65,31.84,84.15,6.34,1,1,summer,0.27,minor,17.4,0.67
Holstein,7,551.5,mid,3,23.46,concentrate,7.02,25.78,0.41,0.0,6.93,8.35,38.49,59,26.61,40.99,6.64,1,0,autumn,0.64,none,28.61,1.11
Jersey,5,578.9,late,2,17.19,mixed,5.32,20.17,4.15,2.07,5.73,9.52,38.72,80,28.05,24.53,7.91,1,0,spring,0.52,none,17.29,0.86
Jersey,12,525.7,late,2,21.86,green,3.06,11.06,0.45,2.87,4.45,12.8,39.07,69,25.87,67.86,5.28,0,0,spring,0.33,minor,14.79,1.34
Holstein,8,591.2,mid,3,24.66,green,7.77,17.43,0.29,2.72,5.1,10.23,38.6,75,18.48,63.51,9.58,1,0,winter,0.62,none,26.62,1.53
Brown Swiss,9,554.8,mid,2,16.49,dry,4.16,23.35,1.31,2.95,4.4,8.11,38.36,89,33.35,42.94,8.3,0,0,autumn,0.11,minor,16.06,0.69
Jersey,12,576.5,early,1,20.25,dry,5.79,10.76,2.17,5.16,3.2,11.28,38.7,72,30.23,46.11,3.77,1,0,spring,0.29,minor,15.14,1.41
Buffalo,12,408.9,early,4,9.27,green,6.21,11.04,5.95,4.11,4.3,10.93,37.89,80,21.03,70.02,9.13,0,0,autumn,0.44,minor,10.75,0.97
Jersey,5,577.5,mid,5,20.03,mixed,6.04,19.64,1.03,2.48,6.45,11.75,37.91,56,25.65,94.52,3.17,0,0,summer,0.22,minor,13.68,0.7
Buffalo,4,481.8,early,2,8.39,dry,3.87,17.08,3.13,4.69,2.69,10.6,38.91,54,25.06,57.67,10.0,1,0,autumn,0.49,minor,9.55,0.56
Buffalo,7,548.5,late,3,11.66,dry,8.65,16.75,1.75,5.19,5.87,11.46,38.1,54,21.59,47.58,8.57,1,0,spring,0.65,none,12.15,0.73
Jersey,13,612.2,early,2,18.38,concentrate,5.89,14.55,0.0,4.27,3.82,16.12,37.85,52,28.06,90.59,7.13,1,0,autumn,0.28,minor,14.74,1.01
Jersey,13,605.8,early,4,19.19,concentrate,8.11,21.37,3.71,3.0,5.46,11.02,38.58,61,23.01,43.65,7.84,0,0,summer,0.55,none,21.31,1.0
Holstein,12,566.9,late,3,27.43,green,5.49,11.43,3.53,1.93,4.39,10.08,39.19,65,17.81,70.88,6.03,1,1,winter,0.48,minor,23.89,2.09
Jersey,11,691.5,mid,2,15.83,mixed,4.21,17.63,0.99,4.8,6.2,10.55,37.69,61,20.52,77.39,9.36,1,0,spring,0.48,minor,12.6,0.71
Jersey,11,671.1,mid,2,21.8,mixed,6.54,18.75,1.8,3.45,7.4,10.84,38.94,76,17.98,75.1,6.41,1,0,spring,0.56,none,19.75,1.05
Brown Swiss,7,609.2,early,5,20.08,dry,9.04,15.37,5.05,2.94,6.54,9.89,38.48,59,25.71,66.36,5.43,1,1,spring,0.63,none,26.12,1.7
Jersey,3,590.2,early,4,22.76,mixed,6.9,23.42,2.96,6.25,4.91,14.78,38.21,57,17.74,100.0,8.64,0,1,autumn,0.24,minor,14.59,0.62
Brown Swiss,2,576.9,late,3,22.22,green,5.86,15.61,2.18,4.97,4.15,8.74,39.13,68,12.73,35.49,10.0,0,0,spring,0.23,minor,13.03,0.83
Brown Swiss,5,572.8,late,4,21.72,mixed,4.29,18.61,3.64,3.97,5.21,9.81,38.0,64,32.56,57.62,5.22,1,0,winter,0.22,minor,14.52,0.78
Jersey,13,644.4,early,2,15.2,dry,6.36,17.3,0.29,2.12,4.29,8.66,38.31,76,26.2,100.0,7.34,1,0,autumn,0.24,minor,16.68,0.96
Brown Swiss,4,703.8,early,6,19.97,green,3.39,14.91,3.57,2.07,3.34,10.46,38.19,60,29.44,36.77,5.19,1,0,spring,0.3,minor,19.22,1.29
Brown Swiss,5,560.8,early,1,16.6,dry,5.32,24.73,2.89,0.97,4.22,11.56,39.13,64,25.27,75.17,7.26,1,0,winter,0.51,none,23.76,0.96
Buffalo,3,580.8,early,2,8.0,mixed,6.22,14.07,0.13,3.67,5.28,11.38,38.83,67,28.34,59.15,7.83,1,0,autumn,0.49,minor,9.89,0.7
Buffalo,3,468.8,early,1,6.63,concentrate,8.42,15.83,4.96,2.62,8.0,9.54,38.65,61,27.23,76.71,6.77,1,0,summer,0.58,none,12.19,0.77
Buffalo,10,520.9,early,3,9.21,concentrate,3.88,13.08,1.92,4.09,5.83,11.35,38.11,68,19.74,47.61,5.16,0,0,summer,0.38,minor,12.0,0.92
Jersey,9,638.8,late,4,19.14,dry,3.8,15.98,2.85,4.38,2.95,8.04,38.07,61,16.83,31.56,5.36,1,1,winter,0.42,minor,16.44,1.03
Jersey,9,589.7,late,5,19.29,concentrate,5.88,19.67,2.48,5.04,4.18,10.08,38.46,72,18.85,80.34,7.93,1,0,autumn,0.45,minor,17.35,0.88
Jersey,2,604.3,late,3,16.22,dry,6.39,20.73,0.0,2.1,7.26,7.85,39.02,60,28.27,81.95,8.48,0,0,summer,0.34,minor,15.67,0.76
Holstein,3,613.0,early,5,25.56,green,8.57,18.2,0.0,4.93,4.44,10.68,38.11,81,19.74,53.25,7.21,1,0,spring,0.61,none,32.07,1.76
Jersey,6,462.5,early,5,17.47,mixed,3.05,10.21,3.44,0.0,3.85,9.2,39.55,72,21.66,86.09,5.52,1,0,spring,0.24,minor,18.46,1.81
Brown Swiss,6,548.6,early,1,18.52,concentrate,7.5,14.22,2.93,3.88,4.91,9.12,38.59,70,37.37,78.79,8.95,1,1,autumn,0.0,minor,11.32,0.8
Holstein,14,574.7,mid,2,25.41,dry,8.05,16.59,1.0,5.27,6.16,6.79,38.31,66,29.67,78.2,7.57,1,1,autumn,0.39,minor,22.01,1.33
Jersey,5,598.3,late,2,17.16,green,6.06,19.99,0.38,0.0,4.48,11.53,39.51,72,16.19,55.35,7.51,1,0,autumn,0.53,none,15.75,0.79
Holstein,10,641.3,late,4,28.78,green,4.66,19.98,1.92,0.0,5.32,8.14,38.79,52,25.18,54.34,7.61,1,0,autumn,0.53,none,19.92,1.0
Holstein,10,570.8,mid,1,26.88,green,6.0,13.27,1.58,3.45,5.49,13.76,38.1,64,27.56,59.53,6.0,1,0,summer,0.52,none,20.95,1.58
